<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<VAL>,<COUNT>,<PREVIOUS>,<COL1>,<COL2>,<TSEClose>,<MarketValue>,<ShareCount>
ZAGROS,d,20111114,000000,11997,11997,11997,11997,50,599850,1,11626,زاگرس,13900823,000000,11997,28792800000000,2400000000
ZAGROS,d,20111116,000000,11798,11798,11779,11779,455,5359590,3,11997,زاگرس,13900825,000000,11779,28269600000000,2400000000
ZAGROS,d,20111119,000000,11745,11899,11745,11750,55035,648115305,16,11779,زاگرس,13900828,000000,11776,28200000000000,2400000000
ZAGROS,d,20111120,000000,11201,11500,11188,11500,29369,332103755,15,11776,زاگرس,13900829,000000,11308,27600000000000,2400000000
ZAGROS,d,20111121,000000,11835,11835,10851,11200,25300,281553427,14,11308,زاگرس,13900830,000000,11129,26880000000000,2400000000
ZAGROS,d,20111122,000000,11675,11675,10614,10614,53818,574872448,18,11129,زاگرس,13900901,000000,10682,25473600000000,2400000000
ZAGROS,d,20111123,000000,10971,10971,10155,10210,5075,51789520,5,10682,زاگرس,13900902,000000,10205,24504000000000,2400000000
ZAGROS,d,20111126,000000,10500,10600,10500,10600,66547,700513500,69,10205,زاگرس,13900905,000000,10527,25440000000000,2400000000
ZAGROS,d,20111127,000000,10679,10900,10679,10900,62835,672040150,21,10527,زاگرس,13900906,000000,10695,26160000000000,2400000000
ZAGROS,d,20111128,000000,10751,11229,10751,11229,71962,789612736,21,10695,زاگرس,13900907,000000,10973,26949600000000,2400000000
ZAGROS,d,20111129,000000,11521,11521,11500,11521,15884,182978564,7,10973,زاگرس,13900908,000000,11520,27650400000000,2400000000
ZAGROS,d,20111130,000000,11697,11697,11170,11500,10710,122949134,7,11520,زاگرس,13900909,000000,11480,27600000000000,2400000000
ZAGROS,d,20111203,000000,11659,11660,11480,11480,31868,369423340,8,11480,زاگرس,13900912,000000,11592,27552000000000,2400000000
ZAGROS,d,20111204,000000,11496,11610,11496,11610,287664,3318542793,39,11592,زاگرس,13900913,000000,11536,27864000000000,2400000000
ZAGROS,d,20111207,000000,11670,11731,11670,11722,37920,444722142,9,11536,زاگرس,13900916,000000,11728,28132800000000,2400000000
ZAGROS,d,20111210,000000,11728,11728,11728,11728,278659,3268112752,40,11728,زاگرس,13900919,000000,11728,28147200000000,2400000000
ZAGROS,d,20111211,000000,11728,11799,11728,11728,191314,2243730947,64,11728,زاگرس,13900920,000000,11728,28147200000000,2400000000
ZAGROS,d,20111212,000000,11729,11729,11728,11728,207512,2433701941,83,11728,زاگرس,13900921,000000,11728,28147200000000,2400000000
ZAGROS,d,20111213,000000,11728,11790,11728,11728,136432,1600075984,39,11728,زاگرس,13900922,000000,11728,28147200000000,2400000000
ZAGROS,d,20111214,000000,11728,11899,11728,11728,123492,1448315886,28,11728,زاگرس,13900923,000000,11728,28147200000000,2400000000
